"Time","Production chauffage"
2020-01-12 09:58:03,0
2020-01-12 10:24:04,0
2020-01-12 10:57:06,0
2020-01-12 13:13:15,0
2020-01-12 13:31:16,0
2020-01-12 13:40:16,0
2020-01-13 01:01:57,0
2020-01-13 01:16:58,0
2020-01-13 01:34:59,0
2020-01-13 13:06:47,0
2020-01-13 13:17:47,0
2020-01-13 13:30:48,0
2020-01-14 01:06:31,0
2020-01-14 01:23:31,0
2020-01-14 01:59:34,0
2020-01-14 18:07:56,0
2020-01-14 18:30:57,0
2020-01-14 18:46:58,0
2020-01-15 01:01:20,0
2020-01-15 01:13:21,0
2020-01-15 01:24:21,0
2020-01-15 15:36:13,0
2020-01-15 15:50:14,0
2020-01-15 16:07:15,0
2020-01-16 01:02:40,0
2020-01-16 01:12:40,0
2020-01-16 01:20:41,0
2020-01-16 13:38:20,0
2020-01-16 13:46:21,0
2020-01-16 13:57:21,0
2020-01-17 01:04:16,0
2020-01-17 01:15:17,0
2020-01-17 01:26:17,0
2020-01-18 04:43:05,0
2020-01-18 04:53:05,0
2020-01-18 05:04:06,0
2020-01-18 19:21:23,1
2020-01-19 01:50:46,0
2020-01-19 02:30:49,0
2020-01-19 02:59:50,0
2020-01-19 13:16:08,0
2020-01-19 13:31:09,0
2020-01-19 13:49:10,0
2020-01-20 01:11:19,0
2020-01-20 01:23:20,0
2020-01-20 01:35:21,0
2020-01-21 05:57:15,0
2020-01-21 06:32:17,0
2020-01-21 07:15:20,0
2020-01-21 13:01:41,0
2020-01-21 13:11:42,0
2020-01-21 13:24:42,0
2020-01-22 01:05:24,0
2020-01-22 01:21:25,0
2020-01-22 01:43:26,0
2020-01-22 13:01:06,0
2020-01-22 13:13:07,0
2020-01-22 13:25:07,0
2020-01-23 01:16:49,0
2020-01-23 01:31:50,0
2020-01-23 01:43:51,0
2020-01-23 17:13:00,0
2020-01-23 17:25:01,0
2020-01-23 17:41:02,0
2020-01-24 01:11:35,0
2020-01-24 01:38:36,0
2020-01-24 01:59:37,0
2020-01-24 18:02:47,0
2020-01-24 18:19:48,0
2020-01-24 18:42:49,0
2020-01-25 01:33:14,0
2020-01-25 01:54:16,0
2020-01-25 02:15:17,0
2020-01-25 15:38:16,0
2020-01-25 15:51:17,0
2020-01-25 16:02:17,0
2020-01-26 02:12:40,0
2020-01-26 02:26:41,0
2020-01-26 02:36:42,0
2020-01-26 16:28:12,0
2020-01-26 16:41:13,0
2020-01-26 16:55:13,0
2020-01-27 01:08:33,0
2020-01-27 01:18:34,0
2020-01-27 01:28:34,0
2020-01-28 08:54:45,0
2020-01-28 09:08:46,0
2020-01-28 11:02:51,0
2020-01-28 20:36:52,0
2020-01-28 20:51:52,0
2020-01-28 21:07:53,0
2020-01-29 01:08:08,0
2020-01-29 01:20:09,0
2020-01-29 01:32:10,0
2020-01-29 13:33:19,0
2020-01-29 13:45:20,0
2020-01-29 14:05:21,0
2020-01-30 01:33:10,0
2020-01-30 01:45:11,0
2020-01-30 01:56:11,0
2020-01-30 13:31:42,0
2020-01-30 13:43:43,0
2020-01-30 14:18:45,0
2020-01-31 01:01:55,0
2020-01-31 01:10:56,0
2020-01-31 01:20:56,0
2020-01-31 13:10:24,0
2020-01-31 13:54:27,0
2020-01-31 14:38:29,0
2020-02-01 02:04:31,0
2020-02-01 02:17:32,0
2020-02-01 02:28:33,0
2020-02-01 22:45:02,0
2020-02-01 22:56:02,0
2020-02-01 23:07:03,0
2020-02-02 01:40:27,0
2020-02-02 01:45:51,0
2020-02-02 01:54:51,0
2020-02-02 22:18:09,0
2020-02-02 22:29:09,0
2020-02-02 22:36:10,0
2020-02-03 01:41:52,0
2020-02-03 01:50:52,0
2020-02-03 02:03:53,0
2020-02-03 21:31:57,0
2020-02-03 21:39:57,0
2020-02-03 21:51:58,0
2020-02-04 01:22:48,0
2020-02-04 01:34:48,0
2020-02-04 01:46:49,0
2020-02-04 13:29:08,0
2020-02-04 14:07:10,0
2020-02-04 18:42:27,0
2020-02-05 01:02:11,0
2020-02-05 01:12:12,0
2020-02-05 01:23:13,0
2020-02-05 13:02:49,0
2020-02-05 13:10:50,0
2020-02-05 13:47:52,0
2020-02-06 01:08:24,0
2020-02-06 01:19:24,0
2020-02-06 01:30:25,0
2020-02-06 20:10:41,0
2020-02-06 22:50:50,0
2020-02-06 23:39:53,0
2020-02-07 01:52:01,0
2020-02-07 02:18:03,0
2020-02-07 02:38:04,0
2020-02-07 13:09:15,0
2020-02-07 13:40:17,0
2020-02-07 13:52:18,0
2020-02-08 01:02:45,0
2020-02-08 01:15:45,0
2020-02-08 01:37:47,0
2020-02-08 13:04:14,0
2020-02-08 13:11:14,0
2020-02-08 13:28:15,0
2020-02-09 01:12:01,0
2020-02-09 01:27:02,0
2020-02-09 01:43:03,0
2020-02-09 13:16:59,0
2020-02-09 18:05:17,0
2020-02-09 18:40:19,0
2020-02-10 19:44:28,0
2020-02-10 20:44:28,0
2020-02-10 21:42:35,0
2020-02-11 01:04:44,0
2020-02-11 01:09:48,0
2020-02-11 01:22:45,0
2020-02-11 17:46:48,0
2020-02-11 18:03:49,0
2020-02-11 18:20:50,0
2020-02-12 01:04:23,0
2020-02-12 01:14:24,0
2020-02-12 01:24:25,0
2020-02-12 13:15:09,0
2020-02-12 13:20:06,0
2020-02-12 13:33:07,0
2020-02-13 01:09:50,0
2020-02-13 01:14:54,0
2020-02-13 01:22:50,0
2020-02-13 13:01:02,0
2020-02-13 13:05:07,0
2020-02-13 13:12:03,0
2020-02-14 01:05:49,0
2020-02-14 01:08:45,0
2020-02-14 01:15:50,0
2020-02-14 14:00:44,0
2020-02-14 14:22:45,0
2020-02-14 14:31:46,0
2020-02-15 01:02:20,0
2020-02-15 01:06:24,0
2020-02-15 01:14:20,0
2020-02-15 21:16:31,0
2020-02-15 21:29:32,0
2020-02-15 21:41:33,0
2020-02-16 01:02:51,0
2020-02-16 01:12:52,0
2020-02-16 01:22:52,0
2020-02-16 23:50:30,0
2020-02-17 00:02:31,0
2020-02-17 00:13:31,0
2020-02-17 01:02:34,0
2020-02-17 01:11:35,0
2020-02-17 01:18:35,0
2020-02-18 05:41:04,0
2020-02-18 05:41:04,0
2020-02-18 05:53:05,0
2020-02-18 13:46:07,0
2020-02-18 13:46:07,0
2020-02-18 13:55:08,0
2020-02-19 01:12:00,0
2020-02-19 01:12:00,0
2020-02-19 01:24:00,0
2020-02-19 15:02:11,0
2020-02-19 15:02:11,0
2020-02-19 15:22:12,0
2020-02-20 01:09:46,0
2020-02-20 01:09:46,0
2020-02-20 01:20:46,0
2020-02-20 14:15:45,0
2020-02-20 14:15:45,0
2020-02-20 14:24:45,0
2020-02-21 01:47:02,0
2020-02-21 01:47:02,0
2020-02-21 02:05:03,0
2020-02-21 21:09:07,0
2020-02-21 21:09:07,0
2020-02-21 21:22:08,0
2020-02-22 02:10:17,0
2020-02-22 02:10:17,0
2020-02-22 02:15:27,0
2020-02-22 23:04:12,0
2020-02-22 23:04:13,0
2020-02-22 23:18:13,0
2020-02-23 01:04:20,0
2020-02-23 01:04:20,0
2020-02-23 01:14:20,0
2020-02-23 23:17:41,0
2020-02-23 23:17:41,0
2020-02-23 23:33:42,0
2020-02-24 01:08:48,0
2020-02-24 01:08:48,0
2020-02-24 01:20:49,0
2020-02-24 23:42:22,0
2020-02-24 23:42:22,0
2020-02-24 23:52:23,0
2020-02-25 01:04:27,0
2020-02-25 01:04:27,0
2020-02-25 01:14:28,0
2020-02-25 21:03:39,0
2020-02-25 21:03:39,0
2020-02-25 21:13:40,0
2020-02-26 01:05:52,0
2020-02-26 01:05:52,0
2020-02-26 01:13:52,0
2020-02-26 17:35:08,0
2020-02-26 17:35:08,0
2020-02-26 17:47:09,0
2020-02-27 01:03:31,0
2020-02-27 01:09:35,0
2020-02-27 01:09:35,0
2020-02-27 13:11:19,0
2020-02-27 13:11:19,0
2020-02-27 13:15:16,0
2020-02-28 01:09:02,0
2020-02-28 01:39:04,0
2020-02-28 02:09:02,0
2020-02-28 13:05:42,0
2020-02-28 13:08:45,0
2020-02-28 13:16:42,0
2020-03-07 08:31:24,1
2020-03-07 08:31:24,1
2020-03-07 22:21:13,0
2020-03-07 22:26:13,1
2020-03-08 08:27:50,0
2020-03-08 09:26:52,0
2020-03-08 09:26:52,0
2020-03-08 13:10:05,0
2020-03-08 13:10:05,0
2020-03-08 13:23:06,0
2020-03-09 01:06:48,0
2020-03-09 01:06:48,0
2020-03-09 01:16:49,0
2020-03-09 13:02:31,0
2020-03-09 13:02:31,0
2020-03-09 13:49:34,0
2020-03-10 01:08:59,0
2020-03-10 01:08:59,0
2020-03-10 01:23:00,0
2020-03-10 13:03:43,0
2020-03-10 13:03:43,0
2020-03-10 13:26:44,0
2020-03-11 01:02:26,0
2020-03-11 01:02:27,0
2020-03-11 01:13:27,0
2020-03-11 21:30:47,0
2020-03-11 21:30:47,0
2020-03-11 21:41:48,0
2020-03-12 01:08:01,0
2020-03-12 01:08:01,0
2020-03-12 01:17:01,0
2020-03-12 23:29:23,0
2020-03-12 23:29:23,0
2020-03-12 23:44:24,0
2020-03-13 01:04:29,0
2020-03-13 01:04:29,0
2020-03-13 01:12:29,0
2020-03-14 03:37:08,0
2020-03-14 03:37:08,0
2020-03-14 03:53:07,0
2020-03-14 14:25:46,0
2020-03-14 14:25:46,0
2020-03-14 14:38:46,0
2020-03-15 01:57:28,0
2020-03-15 01:57:28,0
2020-03-15 02:08:29,0
2020-03-16 02:17:58,0
2020-03-16 02:17:58,0
2020-03-16 02:29:58,0
